name,description,official_name,highlights,height,width
African Violet,"African violets are among the easiest to grow flowering houseplants. They bloom year-round with little effort. Choose from hundreds of varieties and forms, some with variegated foliage or ruffled or white-edged blooms. African violet likes warm conditions and filtered sunlight. Avoid getting water on the fuzzy leaves; cold water causes unsightly brown spots.",Saintpaulia ionantha,"If you have a bright window, this plant will bloom almost constantly. They're also really versatile, blooming in almost every color to match your decor. Plus, it's a sentimental, old-fashioned plant that reminds us of our grandmothers.",8,16
Hibiscus,"Tropical hibiscus is the ultimate plant for creating a touch of the tropics. It forms huge blooms, up to 8 inches in diameter, on a shrubby upright plant that you can train to grow as a tree. Individual blossoms last only a day or two, but plants bloom freely from late spring through fall and occasionally through winter. Keep the soil uniformly moist and give the plant as much indoor light as possible to keep it blooming.",Hibiscus rosa-sinensis,"The giant blooms are eye-catching and irresistible. Plus, hibiscus come in a dizzying array of colors -- from shades of red to pink to orange, yellow, white, and even blue.",6,4
Flowering Maple,"Crepe-paper-like blooms in shades of red, pink, orange, or yellow dangle among leaves like festive lanterns. Many varieties have splotched or variegated foliage for extra interest. Grow the plant upright as a tree, prune it back to keep it shrubby, or even grow it in a hanging basket. Its common name comes from the leaves, which resemble those of a maple tree.",Abutilon x hybridum,Why We Love It: This fast-growing plant is almost constantly in bloom.,5,3
Oxalis,"Oxalis bears triangular, clover-like purple leaves and an almost constant show of pink or white blooms. Look for varieties that have plain green foliage with or without silvery accents. Oxalis grows from small bulbils in the soil; you can divide these any time the plant becomes crowded in its pot.",Oxalis triangularis,"Why We Love It: The shamrock-shape leaves are beautiful and charming. Plus, it's a great gift on St. Patrick's Day.",12,12
Peace Lily,"Peace lily is an easy-care plant that tolerates low light and low humidity. Flowers consist of a showy spoon-shape white spathe and spike of creamy white flowers. Bloom is heaviest in summer, but many varieties bloom throughout the year. The glossy, lance-shape leaves are attractive even when the plant has no blooms.",Spathiphyllum wallisii,Why We Love It: Its large green leaves create instant tropical appeal and it's one of the most common and easy flowering houseplants you can grow.,6,5
Anthurium,"Anthuriums bloom in festive shades of pink, red, lavender, or white, and last for two months or more. They also make a long-lasting cut flower if you can bear to cut them. Anthurium needs medium to bright light to bloom well, but can be grown as a foliage plant with less light.",Anthurium andraeanum,Why We Love It: Its cute factor: The flowers and foliage are both heart-shaped.,3,2
Jasmine,"There are many types of jasmine. Many-flowered jasmine (J. polyanthum, pictured), and Arabian jasmine (J. sambac) are two of the easiest to grow; just give them plenty of light and moisture. They'll all bear fragrant pink to white blooms on vining plants.",Jasminum spp.,Why We Love It: The beautiful pink or white blooms are the some of the most fragrant you'll find on any houseplant.,4,6
Kaffir Lily,"Kaffir lily is also commonly called clivia. As a houseplant it usually blooms in winter with clusters of up to 20 reddish orange or yellow tubular flowers. Clivia blooms only when it has been exposed to cool, dry conditions, so give it lower temperatures in winter and keep it on the dry side. With its deep green straplike leaves aligned in a single plane, the plant is attractive even when not in bloom.",Clivia miniata,Why We Love It: It's extra easy to grow and the flowers brighten up January days when there's not a lot else in bloom.,2,2
Streptocarpus,"Also called Cape primrose, streptocarpus blooms almost continuously if given the right conditions. Most of the hundreds of hybrid varieties available bear trusses of pink, white, purple, or red flowers, often with contrasting white or yellow throats. With the exception of providing cooler winter temperatures, treat it as you would its cousin, African violet.",Streptocarpus x hybridus,Why We Love It: The gorgeous flowers come in a wide range of colors and the plants are easy to grow and propagate.,18,30
Calamondin Orange,This hybrid between mandarin orange and kumquat bears fragrant white blossoms in late winter or spring. The wonderfully fragrant flowers develop into showy 1-inch-diameter orange fruits on a shrubby plant with glossy green foliage. Fruits can remain on the plant for many weeks.,x Citrofortunella microcarpa,Why We Love It: You can harvest the fruits after they ripen and use them like lemons or kumquats or make them into marmalade.,4,4
